,Nombre,Score,Excelente,MuyBueno,Normal,Malo,Pesimo,Num_Reviews,Posicion,Rango_precio,Tipo_Cocina,Awards,Score_Comida,Score_Servicio,Calidad_Precio,Ambiente,Direccion,Web_TripAdvisor,Latina,Eur Este,Africana,China,Japonesa,Arabe,Mexicana,Caribeña,Asiatica,America Norte,America Sur,Italiana,Española,Eur Occidental,Asador,N/A,India,Num_Reviews_Spain,Latitud,Longitud
49,L'Adoré  Café - Bistrot,2.0,1,0,0,0,3,4,2958.0,€€ - €€€,"['Mediterránea', 'Española']",0,,,,,"['Pl. de Cascorro', ' 20', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23751591-Reviews-L_Adore_Cafe_Bistrot-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,40.4110324,-3.7074309
50,Brando,4.5,16,0,1,1,1,25,2520.0,€,[],0,,,,,"['Calle De Hortaleza 55', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23442975-Reviews-Brando_Helado-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,40.4227186,-3.6993179
51,El Respiro,4.0,91,88,38,11,16,361,515.0,€,"['Bar', 'Mediterránea', 'Española']",1,4.0,4.0,4.5,4.0,"['Calle Infantas 34', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d797554-Reviews-El_Respiro-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,244,40.4202771,-3.6983021
52,Café del Principe,3.5,61,99,53,40,60,543,1447.0,€€ - €€€,['Española'],0,3.5,3.0,3.5,3.5,"['Plaza Canalejas 5', ' 28014 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d2000637-Reviews-Cafe_del_Principe-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,313,40.4163726,-3.7004894
53,Comenssana,4.0,9,5,4,0,1,20,1986.0,€,"['Mediterránea', 'Opciones vegetarianas']",0,,,,,"['Avenida Donostiarra', ' 15', ' 28027 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d6212104-Reviews-Comenssana-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,19,40.4348084,-3.6577932
54,Punch Room - The Madrid Edition,4.5,1,1,0,1,0,6,412.0,€€ - €€€,['Pub'],0,,,,,"['Plaza De Celenque 2', ' 28013 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d23922795-Reviews-Punch_Room_The_Madrid_EDITION-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,40.417175,-3.7059998
55,SUSHI&BUEY-OKELA SANCHINARRO,3.5,28,28,24,7,10,98,171.0,€€ - €€€,"['Japonesa', 'Americana', 'Mediterránea']",0,4.0,4.0,3.5,,"['CALLE PRINCIPE CARLOS 22 ESQUINA CONDE DE MIRASOL', ' 28050 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d10241477-Reviews-Sushi_buey_okela_Sanchinarro-Madrid.html,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,97,,
56,Ten Ten Pie,5.0,4,1,0,0,0,7,85.0,€,"['Comida rápida', 'Street food / Comida en la calle', 'De Oriente Medio']",0,,,,,"['Calle de San Vicente Ferrer 23', ' 28004 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d14765468-Reviews-Ten_Ten_Pie-Madrid.html,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,40.4256481,-3.703077
57,Los Andenes Vegan,4.5,26,10,4,2,0,49,29.0,€€ - €€€,"['Peruana', 'Latina', 'Española']",0,4.5,4.5,4.5,,"['Calle de Fernandez de los Rios 43', ' 28015 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d15664349-Reviews-Los_Andenes_Vegan-Madrid.html,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,40.4351301,-3.7104884
58,María Pandora,4.0,11,5,0,0,3,22,375.0,€€ - €€€,['Bar'],0,4.0,4.5,4.0,,"['Plaza de Gabriel Miro', ' 1', ' 28005 Madrid España']",https://www.tripadvisor.es/Restaurant_Review-g187514-d775632-Reviews-Maria_Pandora-Madrid.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,,
